Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
David Garcia,Osasuna,2793,0,0,7,0
Javi Garcia,Betis,377,0,0,2,0
Manu Garcia,Alaves,1967,0,0,11,1
Raul Garcia,Valladolid,1012,0,1,2,0
Raul Garcia,Athletic Club,2869,15,1,11,0
Raul Garcia,Getafe,243,0,0,0,0
Ruben Garcia,Osasuna,2188,8,2,6,0
Unai Garcia,Osasuna,536,1,0,0,0
Victor Garcia,Valladolid,88,1,0,0,0
Manuel Garrido,Leganes,115,0,0,1,0
Mario Gaspar,Villarreal,1962,0,2,2,0
Jose Antonio Martinez Gil,Granada,1191,0,1,0,0
Ibai Gomez,Athletic Club,695,0,0,0,0
Maxi Gomez,Valencia,2143,9,2,5,0
Moi Gomez,Villarreal,2319,5,4,1,0
Sergi Gomez,Sevilla,717,0,0,4,0
Maxime Gonalons,Granada,1506,0,0,7,0
Bruno Gonzalez,Levante,456,0,0,0,0
Bruno Gonzalez,Getafe,180,0,0,1,0
Edgar Gonzalez,Betis,681,0,0,3,0
Andoni Gorosabel,Real Sociedad,714,0,0,2,0
Esteban Granero,Espanyol,473,1,0,5,0
Antoine Griezmann,Barcelona,2549,9,4,2,0
Andres Guardado,Betis,2046,0,3,9,0
Sergi Guardiola,Valladolid,2655,8,2,6,0
Nemanja Gudelj,Sevilla,1216,0,0,6,0
Goncalo Guedes,Valencia,1266,2,2,3,0
Adrian Guerrero,Valencia,126,0,0,1,0
Ander Guevara,Real Sociedad,939,0,0,4,0
John Guidetti,Alaves,96,0,0,0,0
Hugo Guillamon,Valencia,495,0,0,3,0
Ismael Gutierrez,Betis,83,0,0,1,0
Munir El Haddadi,Sevilla,1250,5,2,1,0
Eden Hazard,Real Madrid,1077,1,3,0,0
Mario Hermoso,Atletico Madrid,1217,0,0,3,1
Aridane Hernandez,Osasuna,2610,3,0,8,0
Javier Hernandez,Sevilla,448,1,0,0,0
Juan Hernandez,Celta Vigo,87,0,0,0,0
Hector Herrera,Atletico Madrid,1123,0,2,1,0
Sergio Herrera,Osasuna,1655,0,0,2,1
Yangel Herrera,Granada,2368,2,3,14,0
Iago Herrerin,Athletic Club,425,0,0,0,0
Pablo Hervias,Valladolid,1017,1,0,1,0
Robert Ibanhez,Osasuna,537,1,0,3,0
Vicente Iborra,Villarreal,2648,1,2,10,1
Borja Iglesias,Betis,1922,3,2,3,1
Asier Illarramendi,Real Sociedad,216,0,0,0,0
Takashi Inui,Eibar,1960,2,3,2,0
Alexander Isak,Real Sociedad,1507,9,1,3,0
Isco,Real Madrid,1181,1,2,2,0
Ander Iturraspe,Espanyol,242,0,0,1,0
Jacobo,Celta Vigo,83,0,0,1,0
Adnan Januzaj,Real Sociedad,1167,3,3,3,0
Jason,Getafe,1175,1,4,5,0
Joaquin,Betis,2060,8,3,4,0
Frenkie de Jong,Barcelona,2115,2,2,3,1
Luuk de Jong,Sevilla,2059,6,1,2,0
Joan Jordan,Sevilla,2254,2,2,7,0
Willian Jose,Real Sociedad,2011,11,1,4,0
Joselu,Alaves,2782,11,2,6,0
Luka Jovic,Real Madrid,430,2,1,2,0
Juanmi,Betis,264,1,0,2,1
David Junca,Celta Vigo,258,0,0,1,0
Lago Junior,Mallorca,2188,4,0,3,0
Vinicius Junior,Real Madrid,1364,3,1,4,0
Lee Kangin,Valencia,454,2,0,1,2
